"Component Ref ID"; "Pin Ref ID"; "Net Name"; "Mount"; "Side"; posX; posY
"U1"; "L11"; "SYS_RTC_1P8V"; "SMD"; "TOP";30.4816; -61.9074
"U1"; "L10"; "SYS_VDD_1P8V"; "SMD"; "TOP";30.4816; -63.1774
"U1"; "L9"; "SYS_VDD3_3P3V"; "SMD"; "TOP";30.4816; -64.4474
"U1"; "L8"; "SYS_VDD3_3P3V"; "SMD"; "TOP";30.4816; -65.7174
"U1"; "L7"; "SYS_VOUT"; "SMD"; "TOP";30.4816; -66.9874
"U1"; "L6"; "SYS_VOUT"; "SMD"; "TOP";30.4816; -68.2574
"U1"; "L5"; "DGND"; "SMD"; "TOP";30.4816; -69.5274
"U1"; "L4"; "PMIC_WAKEUP"; "SMD"; "TOP";30.4816; -70.7974
"U1"; "L3"; "BOOT12"; "SMD"; "TOP";30.4816; -72.0674
"U1"; "L2"; "BOOT13"; "SMD"; "TOP";30.4816; -73.3374
"U1"; "L1"; "BOOT14"; "SMD"; "TOP";30.4816; -74.6074
"U1"; "M16"; "NetR5_2"; "SMD"; "TOP";31.7516; -55.5574
"U1"; "M15"; "USB_OTG1_VBUS"; "SMD"; "TOP";31.7516; -56.8274
"U1"; "M14"; "USB_OTG1_ENB"; "SMD"; "TOP";31.7516; -58.0974
"U1"; "M13"; "PMIC_NRESET"; "SMD"; "TOP";31.7516; -59.3674
"U1"; "M12"; "DGND"; "SMD"; "TOP";31.7516; -60.6374
"U1"; "M11"; "DGND"; "SMD"; "TOP";31.7516; -61.9074
"U1"; "M10"; "DGND"; "SMD"; "TOP";31.7516; -63.1774
"U1"; "M9"; "DGND"; "SMD"; "TOP";31.7516; -64.4474
"U1"; "M8"; "DGND"; "SMD"; "TOP";31.7516; -65.7174
"U1"; "M7"; "DGND"; "SMD"; "TOP";31.7516; -66.9874
"U1"; "M6"; "DGND"; "SMD"; "TOP";31.7516; -68.2574
"U1"; "M5"; "DGND"; "SMD"; "TOP";31.7516; -69.5274
"U1"; "M4"; "PMIC_WAKEUP"; "SMD"; "TOP";31.7516; -70.7974
"U1"; "M3"; "BOOT15"; "SMD"; "TOP";31.7516; -72.0674
"U1"; "M2"; "NetD1_3"; "SMD"; "TOP";31.7516; -73.3374
"U1"; "M1"; "OPTO_IN1"; "SMD"; "TOP";31.7516; -74.6074
"U1"; "N16"; "NetR97_2"; "SMD"; "TOP";33.0216; -55.5574
"U1"; "N15"; "DGND"; "SMD"; "TOP";33.0216; -56.8274
"U1"; "N14"; " N/C_00093"; "SMD"; "TOP";33.0216; -58.0974
"U1"; "N13"; "PMIC_MUX_IN"; "SMD"; "TOP";33.0216; -59.3674
"U1"; "N12"; "NetR79_1"; "SMD"; "TOP";33.0216; -60.6374
"U1"; "N11"; "PWR_EN"; "SMD"; "TOP";33.0216; -61.9074
"U1"; "N10"; "PWR_EN"; "SMD"; "TOP";33.0216; -63.1774
"U1"; "N9"; "DGND"; "SMD"; "TOP";33.0216; -64.4474
"U1"; "N8"; "DGND"; "SMD"; "TOP";33.0216; -65.7174
"U1"; "N7"; "NetU1_N7"; "SMD"; "TOP";33.0216; -66.9874
"U1"; "N6"; " N/C_00084"; "SMD"; "TOP";33.0216; -68.2574
